S. No.,DISTRICT,Actual(mm),Normal(mm),Deviation(%) from normal,Year
225,SAHARSA,72.3,108.5,-33.37,2018
226,SAMASTIPUR,82.1,93.3,-12.06,2018
227,SARAN (CHHAPRA),47.2,96.8,-51.25,2018
228,SHEIKHPURA,64.2,-,-,2018
229,SHEOHAR,63.3,-,-,2018
230,SITAMARHI,76.7,108.2,-29.13,2018
231,SIWAN,48.9,94.2,-48.13,2018
232,SUPAUL,102.4,108.5,-5.63,2018
233,VAISHALI,60.4,-,-,2018
234,TOTAL,75.7,101.9,-25.7,2018
235,ARARIA,134.2,-,-,2019
236,ARWAL,72.4,-,-,2019
237,AURANGABAD,79,87.2,-9.4,2019
238,BANKA,84.3,-,-,2019
239,BEGUSARAI,93.6,89.1,5.1,2019
240,BHAGALPUR,92.8,100.7,-7.86,2019
241,BHOJPUR,72.8,85.7,-15.1,2019
242,BUXAR,85.7,79.5,7.77,2019
243,DARBHANGA,111,96.4,15.16,2019
244,GAYA,86.5,90.6,-4.43,2019
245,GOPALGANJ,109.3,90.9,20.28,2019
246,JAMUI,91.7,-,-,2019
247,JEHANABAD,99.1,-,-,2019
248,KAIMUR (BHABUA),77.1,97,-20.54,2019
249,KATIHAR,112.4,115.6,-2.73,2019
250,KHAGARIA,108.6,102.8,5.63,2019
251,KISHANGANJ,193.5,178.5,8.41,2019
252,LAKHISARAI,77.5,-,-,2019
253,MADHEPURA,113.1,117.6,-3.79,2019
254,MADHUBANI,113.8,98.8,15.26,2019
255,MUNGER,99,95.5,3.66,2019
256,MUZAFFARPUR,98.1,99.9,-1.83,2019
257,NALANDA,76.5,86.4,-11.38,2019
258,NAWADA,79.6,-,-,2019
259,PASHCHIM CHAMPARAN,122.6,126.3,-2.91,2019
260,PATNA,99.3,88,12.88,2019
261,PURBA CHAMPARAN,95.4,100.2,-4.78,2019
262,PURNIA,114.8,123.8,-7.26,2019
263,ROHTAS,75.5,93.1,-18.91,2019
264,SAHARSA,108.8,108.5,0.35,2019
265,SAMASTIPUR,138.1,93.3,47.96,2019
266,SARAN (CHHAPRA),89.7,96.8,-7.34,2019
267,SHEIKHPURA,69.9,-,-,2019
268,SHEOHAR,110.6,-,-,2019
269,SITAMARHI,103,108.2,-4.82,2019
270,SIWAN,97.2,94.2,3.21,2019
271,SUPAUL,136.7,108.5,25.99,2019
272,VAISHALI,104.2,-,-,2019
273,TOTAL,101.1,101.9,-0.7,2019
274,ARARIA,161,-,-,2020
275,ARWAL,66.8,-,-,2020
276,AURANGABAD,71.1,87.2,-18.46,2020
277,BANKA,89.6,-,-,2020
278,BEGUSARAI,104,89.1,16.69,2020
